pinyin,音调,字,,,,,
a,1,阿,ar,,,,
ai,1,埃,a,,,,
ai,4,艾,a,,,,
ai,4,爱,e,,,,
an,1,安,an,,,,
ang,2,昂,an,,,,
ao,4,奥,o,au,,,
ba,1,巴,pa,ba,,,
ba,1,芭,ba,,,,
bai,4,拜,by,,,,
bang,1,邦,bon,,,,
bao,3,保,pu,,,,
bao,4,鲍,bo,,,,
bei,1,卑,pe,,,,
bei,3,北,be,,,,
bei,4,贝,be,,,,
bei,4,蓓,be,,,,
ben,3,本,ben,,,,
ben,3,苯,burn,,,,
bi,3,比,ppi,bi,,,
bo,1,波,bo,,,,
bo,2,博,ber,,,,
bo,2,伯,ber,,,,
bu,4,布,b,boo,ber,,
cha,2,查,char,,,,
cha,4,刹,shasa,,,,
chai,2,柴,tchai,,,,
che,4,彻,che,,,,
chuan,1,川,Trum,,,,
ci,2,茨,tes,z,,,
cui,1,崔,tra,,,,
da,2,达,da,ta,,,
da,2,妲,da,,,,
da,2,荙,da,,,,
da,4,大,da,,,,
dai,4,代,da,,,,
dai,4,戴,di,,,,
dai,4,黛,d,,,,
dan,1,丹,dan,,,,
dan,4,但,dan,,,,
dang,1,当,dam,,,,
dao,4,道,dow,,,,
de,2,德,d,des,de,dd,
den,1,登,den,,,,
deng,4,邓,dum,,,,
di,2,狄,di,,,,
di,2,迪,dy,,,,
di,4,地,ti,,,,
di,4,蒂,ti,,,,
din,1,丁,din,te,,,
dian,3,典,then,,,,
du,4,度,du,,,,
du,4,杜,du,,,,
dun,1,敦,dun,,,,
dun,4,顿,ton,,,,
duo,1,多,do,dore,,,
duo,3,朵,do,,,,
e,2,俄,e,,,,
e,2,娥,e,,,,
e,4,厄,e,,,,
en,1,恩,en,,,,
en,1,蒽,en,,,,
er,3,尔,ll,r,er,,
er,3,儿,er,,,,
fa,2,法,fa,,,,
fan,2,梵,v,,,,
fan,4,范,v,,,,
fei,1,菲,fel,,,,
fen,1,芬,ven,,,,
fen,1,分,ven,,,,
feng,2,冯,von,,,,
fo,2,佛,for,,,,
fu,1,夫,ff,hov,ov,v,ev
fu,1,芙,fi,,,,
fu,2,福,ford,,,,
fu,2,弗,f,,,,
ga,1,嘎,ca,,,,
gai,1,该,ca,,,,
gai,4,盖,ga,,,,
gan,1,干,gan,,,,
gan,1,甘,gan,,,,
gang,1,冈,con,,,,
gao,1,高,go,,,,
ge,1,歌,go,,,,
ge,1,戈,go,,,,
ge,2,格,gger,g,,,
ge,2,革,g,,,,
gen,1,根,ken,,,,
gong,4,贡,gon,,,,
gou,3,苟,go,,,,
gu,3,古,gu,ng,,,
gui,1,圭,guay,,,,
guo,3,果,go,,,,
guo,3,菓,go,,,,
ha,1,哈,ha,,,,
hai,3,海,hei,,,,
hai,4,亥,hei,,,,
han,4,汉,han,,,,
han,4,翰,jo,,,,
hao,2,豪,heal,,,,
he,4,赫,he,,,,
hei,1,黑,he,,,,
heng,1,亨,hen,,,,
hu,1,呼,hul,,,,
hu,2,胡,ho,,,,
hua,4,华,wat,,,,
huai,2,怀,wei,,,,
huo,4,霍,haw,,,,
ji,1,基,chi,ky,,,
ji,1,姬,gi,,,,
ji,2,吉,gi,,,,
ji,3,几,gi,,,,
ji,3,己,gi,,,,
jia,1,迦,ga,ca,,,
jia,1,伽,ga,ca,,,
jian,3,简,jane,,,,
jie,2,杰,je,d,,,
jie,2,捷,ces,,,,
jin,1,金,king,,,,
jing,1,京,tin,,,,
ju,1,居,cur,,,,
jue,2,爵,unt,,,,
jue,2,蕨,unt,,,,
ka,3,卡,ka,car,ca,,
kai,1,开,kel,,,,
kai,3,凯,cae,,,,
kang,1,康,kan,,,,
ke,1,柯,k,co,,,
ke,1,科,ko,,,,
ke,3,可,co,,,,
ke,4,克,k,cke,,,
ken,3,肯,ken,,,,
kou,4,蔻,ko,,,,
ku,4,库,kur,,,,
kui,2,奎,kra,,,,
kui,2,魁,kra,,,,
kun,1,昆,gun,,,,
la,1,拉,la,ra,,,
la,1,菈,la,,,,
lai,1,莱,le,,,,
lai,4,赖,lai,,,,
lan,2,兰,lan,,,,
lang,3,朗,ran,,,,
lao,2,劳,law,,,,
le,4,勒,ler,lor,rer,,
lei,2,雷,le,,,,
lei,2,蕾,le,,,,
leng,3,冷,lem,,,,
li,3,里,ri,lie,,,
li,4,利,le,,,,
li,4,莉,rey,li,,,
lian,2,廉,lliam,,,,
lian,2,莲,yn,,,,
lie,4,列,le,,,,
lin,2,林,ree,,,,
lin,2,琳,ree,,,,
liu,2,留,riu,,,,
liu,2,流,riu,,,,
liu,2,琉,riu,,,,
long,2,隆,ron,,,,
lu,2,卢,ru,,,,
lu,3,鲁,ro,,,,
lu,4,路,ru,,,,
lu,4,露,roe,,,,
lüe,4,略,lei,,,,
lun,2,仑,leon,ren,,,
luo,2,罗,ro,rak,rah,,
luo,4,洛,lo,ro,,,
ma,3,马,mar,,,,
ma,3,玛,mar,,,,
mai,4,麦,ma,,,,
mai,4,迈,mi,,,,
man,4,曼,man,,,,
man,4,蔓,man,,,,
mang,2,芒,mun,,,,
mei,2,梅,me,,,,
mei,3,美,me,,,,
men,2,门,men,min,,,
meng,2,蒙,mon,,,,
meng,2,萌,moe,,,,
meng,4,梦,mon,,,,
mi,2,弥,me,,,,
mi,3,米,me,meo,,,
mi,4,密,mi,,,,
miao,4,缪,mus,,,,
min,3,敏,mione,,,,
ming,2,明,min,,,,
miu,4,谬,mus,,,,
mo,2,摩,mor,,,,
mo,4,默,mer,,,,
mo,4,墨,me,,,,
mo,4,莫,mo,,,,
mu,3,姆,m,,,,
mu,4,穆,mu,moo,,,
na,2,拿,na,,,,
na,4,纳,na,,,,
na,4,娜,na,,,,
nai,4,奈,ne,,,,
nan,2,南,naan,,,,
nan,2,楠,naan,,,,
nei,4,内,ney,na,,,
ni,2,尼,ne,ni,,,
nie,4,涅,ne,,,,
niu,3,纽,new,,,,
nong,2,侬,nom,,,,
nu,3,努,nur,,,,
nu,3,奴,nur,,,,
nuo,2,挪,nor,,,,
nuo,4,诺,no,,,,
ou,1,欧,euro,,,,
pa,4,帕,pa,,,,
pai,4,派,pan,,,,
pan,1,潘,pan,,,,
pang,2,庞,pan,,,,
pei,3,裴,ppe,,,,
pei,4,佩,ppe,,,,
peng,2,彭,pen,,,,
pi,2,皮,pi,,,,
ping,2,平,py,,,,
po,1,泊,po,,,,
po,2,婆,b,,,,
pu,3,普,p,pe,,,
qi,2,奇,ci,,,,
qi,2,齐,zy,,,,
qi,2,琪,ki,,,,
qia,4,恰,kia,,,,
qiang,2,强,john,,,,
qiang,2,蔷,jo,,,,
qiao,2,乔,jo,geor,,,
qie,4,契,che,,,,
qiong,2,琼,jone,,,,
qiu,2,求,ritiu,,,,
qiu,2,球,ritiu,,,,
rang,4,让,let,,,,
re,4,热,gers,,,,
ri,4,日,ge,,,,
rui,4,瑞,swit,,,,
sa,4,萨,sha,sar,,,
sa,4,撒,sa,,,,
sai,4,塞,ce,se,,,
san,4,散,sa,,,,
sang,1,桑,san,zan,,,
se,4,瑟,ther,,,,
sen,1,森,theon,cen,,,
sha,1,沙,sa,,,,
sha,1,莎,sha,,,,
shan,1,杉,san,,,,
shan,1,姗,san,,,,
she,3,舍,she,,,,
shen,2,什,sh,,,,
sheng,4,圣,saint,,,,
shi,1,施,sch,,,,
shi,3,史,s,,,,
shi,4,士,zer,,,,
shu,1,舒,schu,,,,
si,1,斯,s,th,ce,,
su,1,苏,su,,,,
suo,3,索,so,,,,
ta,3,塔,ta,,,,
tai,4,泰,toy,,,,
tan,3,坦,tan,tein,,,
tang,1,汤,to,,,,
tang,2,唐,do,,,,
tao,2,陶,to,,,,
te,4,特,ter,t,tte,,
teng,2,藤,ten,,,,
ti,2,缇,ti,,,,
ting,1,汀,ten,,,,
ting,2,廷,tium,,,,
tong,1,通,tur,,,,
tu,2,图,ttu,,,,
tuo,1,托,to,tho,,,
wa,3,瓦,war,,,,
wan,4,万,wan,,,,
wei,1,威,wi,we,ge,,
wei,2,维,wer,wei,,,
wei,3,韦,well,ve,,,
wei,4,卫,vid,,,,
wen,1,温,wain,win,,,
wen,2,文,win,,,,
wo,4,沃,wal,,,,
wu,1,乌,ur,,,,
wu,3,伍,woo,,,,
xi,1,西,ssi,cy,,,
xi,1,希,hi,,,,
xi,1,茜,si,,,,
xia,4,夏,char,,,,
xiang,1,香,cha,,,,
xiao,1,肖,shaw,,,,
xie,1,歇,hy,,,,
xie,4,谢,she,,,,
xin,1,辛,zene,,,,
xin,1,新,si,,,,
xiu,1,修,ssiu,,,,
xiu,1,休,ssiu,,,,
xu,3,许,hy,,,,
xue,1,薛,schro,,,,
xun,4,逊,son,,,,
ya,3,雅,a,,,,
ya,4,亚,a,,,,
ya,4,娅,a,,,,
yang,2,杨,yang,,,,
ye,1,耶,je,,,,
ye,4,叶,e,,,,
yi,1,伊,I,,,,
yin,1,因,in,,,,
yin,1,英,in,,,,
yin,1,茵,in,,,,
ying,3,隐,in,,,,
you,1,优,U,,,,
you,2,尤,jo,,,,
you,2,由,jo,,,,
yu,2,于,hu,,,,
yu,3,雨,hu,,,,
yue,1,约,jo,,,,
zan,4,赞,zhan,,,,
ze,2,泽,ze,,,,
zha,1,扎,za,,,,
zhan,1,詹,Ja,,,,
zhi,1,之,zz,,,,
zhu,1,朱,Ju,,,,
zi,1,兹,z,,,,
zu,3,祖,Zu,,,,
zuo,3,佐,zo,,,,
,,梅,me,,,,
,,华,ward,,,,
